created_at,id,text,followers_count
Sun Jul 17 23:59:18 +0000 2016,"b""RT @WalshFreedom: Here's a #BLM protester from just last weekend. Today, 3 cops were assassinated. https://t.co/DeP9kZOe66""",741819595,634
Sun Jul 17 23:59:16 +0000 2016,b'RT @AlexWilliams__: A few photos from today at the Richmond #BLM March https://t.co/ZtFMaz5ucI',473541439,222
Sun Jul 17 23:59:15 +0000 2016,b'RT @YoungDems4Trump: #BlackLivesMatter just killed two more cops in Baton Rough \\U0001f61e rt if you think #BLM is a terrorist group. This needs to\\u2026',4826326078,150
Sun Jul 17 23:59:15 +0000 2016,b'RT @tweetwen115: #BLM https://t.co/RSwQsKGijT',304061756,31912
Sun Jul 17 23:59:15 +0000 2016,"b'@DylHarrington @theblaze #blm have been advocating cop kill, they are probably celebrating right now'",705552374904049664,17
Sun Jul 17 23:59:14 +0000 2016,"b'RT @Lauren_Southern: History will not remember you well #BLM\\n\\nRosa Parks didn\'t twerk in front of the bus in a crop top holding an ""oink oi\\u2026'",2430330194,794
Sun Jul 17 23:59:14 +0000 2016,"b""RT @thomeography: I wouldn't be surprised if these police shootings were staged to justify police violence &amp; discredit #BLM https://t.co/V4\\u2026""",199419662,710
Sun Jul 17 23:59:14 +0000 2016,b'#batonrouge\\n antoher muslime cunt After #Nice #orlando 9/11 are we awake yet? Islam=waging jihad under guise of #BLM https://t.co/Snvi5q8xEr',91549690,3732
Sun Jul 17 23:59:10 +0000 2016,"b'Apparently, just certain #BLM.... https://t.co/5g2p6Qff8s'",1474440043,628
Sun Jul 17 23:59:06 +0000 2016,b'RT @2ALAW: #BLM Must Be Designated A Terrorist And Hate Group Now!!\\n\\nReTweet If You Agree \\n@ChristiChat \\n\\n#2A \\n#Trump https://t.co/qErdxFJu\\u2026',60771299,1455
Sun Jul 17 23:59:02 +0000 2016,b'Yes I agree but we Need to Understand Why #BLM &amp; what they r saying!! Something needs to change!   https://t.co/PKf5LmBChR',860825714,95
Sun Jul 17 23:59:02 +0000 2016,b'quick curation of #ConvosWithCosmo tweets #BatonRouge #BLM @TylerPreston20 @Sargon_of_Akkad @Lauren_Southern https://t.co/FXJtBei5Pv',550236207,29
