id,created_at,text,screen_name,location,followers_count
754824757434982400,Sun Jul 17 23:47:00 +0000 2016,"b'RT @WORLDSTAR: 2 years ago today he screamed, ""I can\'t breathe!""\\n\\nR.I.P. Eric Garner #BlackLivesMatter https://t.co/Ftj6bdJoi2'",_Khiauna,,691
754824756218781697,Sun Jul 17 23:47:00 +0000 2016,"b""RT @AllDayKP: It's time to make a change! \\n#BlackLivesMatter https://t.co/M2fTmxW1DI""",Steve_Ldn_,n/a,704
754824756067696640,Sun Jul 17 23:47:00 +0000 2016,"b""You can't be saying #BlackLivesMatter and then not care about the death of Montrell Jackson https://t.co/rRyZ3S5Ywq""",lemonadenormani,,7188
754824755635564544,Sun Jul 17 23:47:00 +0000 2016,b'RT @PrisonPlanet: #BlackLivesMatter supporters have been celebrating the death of this man. Let that sink in. #BatonRouge https://t.co/n1iE\\u2026',outlaworange,,118
754824755522310145,Sun Jul 17 23:47:00 +0000 2016,b'@Pamela_Moore13 is that the #BlackLivesMatter  at 2014 #Minnesota State Fair',DclareDiane,MN,6327
754824755421646848,Sun Jul 17 23:47:00 +0000 2016,b'RT @PrisonPlanet: #BlackLivesMatter supporters have been celebrating the death of this man. Let that sink in. #BatonRouge https://t.co/n1iE\\u2026',Ghazghkul,,40
754824755065266176,Sun Jul 17 23:47:00 +0000 2016,b'RT @AshAgony: #EricGarner protesters marching thru Staten Island 2yrs after his death! #BlackLivesMatter https://t.co/WuV0YioX1W',MaureenCallaha2,Southern Pines,208
754824754628927488,Sun Jul 17 23:47:00 +0000 2016,b'RT @trueblacknews: White Supremacist with a history of attacking Black people kills 3 - No national Coverage\\n\\n#Blacklivesmatter https://t.c\\u2026',MarkTerritore,"South Carolina, USA",574
754824754599698433,Sun Jul 17 23:47:00 +0000 2016,"b'RT @andieiamwhoiam: NRA saves lives.  None of your #BlackLIvesMatter thugs is legally armed.  Good folks are, though. https://t.co/7SE8D4l6\\u2026'",amwest09,United States,2000
754824753957904388,Sun Jul 17 23:46:59 +0000 2016,"b""RT @AllDayKP: It's time to make a change! \\n#BlackLivesMatter https://t.co/M2fTmxW1DI""",DamianFlacko,Searching for a Set,431
754824752045228032,Sun Jul 17 23:46:59 +0000 2016,b'RT @authentic_april: #SovereignCitizen #GavinLong #BatonRouge... #BlackLivesMatter\\n\\nRemember that part about waiting for the facts? https:/\\u2026',granny_st,,2290
754824751122489344,Sun Jul 17 23:46:59 +0000 2016,b'RT @lion_faisal: Islam Kills Racism. _Malcolm X\\n#BlackLivesMatter #BatonRouge https://t.co/HiERwh1a7L',zikri_azhari,"Seremban, Negeri Sembilan",415
754824751063834625,Sun Jul 17 23:46:59 +0000 2016,b'RT @Crystal1Johnson: #BatonRouge\\n#BlackLivesMatter https://t.co/8VIv47Gw3h',KimLokz,"San Francisco, CA",284
754824750610911233,Sun Jul 17 23:46:59 +0000 2016,"b""Important points being made. Clinton will do nothing. Obama isn't doing enough. #TamirRice #BlackLivesMatter #BLM https://t.co/BisUK7eVCW""",Partisan2016,In that future to believe in,1308
